RegionID,RegionName,State,StateCodeFIPS,Date,HousingPrice
1287,Orange County,FL,12,2010-02-28,149841.21779638823
1957,Osceola County,FL,12,2010-02-28,126497.27389867812
2993,Palm Beach County,FL,12,2010-02-28,176051.16863872623
669,Pasco County,FL,12,2010-02-28,136825.15623408262
2480,Pinellas County,FL,12,2010-02-28,144926.70897652736
285,Polk County,FL,12,2010-02-28,117964.48729158174
1338,Putnam County,FL,12,2010-02-28,90336.59267387184
3128,Saint Johns County,FL,12,2010-02-28,229194.40800323908
3131,Saint Lucie County,FL,12,2010-02-28,105384.7641457423
3026,Santa Rosa County,FL,12,2010-02-28,157364.5737057405
2528,Sarasota County,FL,12,2010-02-28,173164.95602528224
2538,Seminole County,FL,12,2010-02-28,161956.23004056103
1409,Sumter County,FL,12,2010-02-28,193851.9249061111
2570,Suwannee County,FL,12,2010-02-28,120745.74263031268
1419,Taylor County,FL,12,2010-02-28,91240.80084830818
762,Union County,FL,12,2010-02-28,108532.67676874196
2063,Volusia County,FL,12,2010-02-28,131903.95747331853
2066,Wakulla County,FL,12,2010-02-28,138970.6263192297
1468,Walton County,FL,12,2010-02-28,271580.7751479512
1509,Alachua County,FL,12,2010-03-31,168775.80369743842
378,Baker County,FL,12,2010-03-31,138860.23959021302
67,Bay County,FL,12,2010-03-31,173648.91345856138
2148,Bradford County,FL,12,2010-03-31,109583.89350713656
1556,Brevard County,FL,12,2010-03-31,134949.7389918541
1561,Broward County,FL,12,2010-03-31,147372.08132219364
1571,Calhoun County,FL,12,2010-03-31,94567.4377810648
2650,Charlotte County,FL,12,2010-03-31,125785.01811627184
938,Citrus County,FL,12,2010-03-31,122903.10133018556
118,Clay County,FL,12,2010-03-31,159043.74201093105
1638,Collier County,FL,12,2010-03-31,253234.616583112
2212,Columbia County,FL,12,2010-03-31,119258.63583883128
1659,De Soto County,FL,12,2010-03-31,92482.19229278204
480,Dixie County,FL,12,2010-03-31,76685.80830488839
489,Duval County,FL,12,2010-03-31,137535.18470295912
2259,Escambia County,FL,12,2010-03-31,136150.35942911234
1707,Flagler County,FL,12,2010-03-31,153954.68585274075
2272,Franklin County,FL,12,2010-03-31,199186.35018386645
1717,Gadsden County,FL,12,2010-03-31,105230.66167840332
2704,Gilchrist County,FL,12,2010-03-31,115780.8852042082
1042,Glades County,FL,12,2010-03-31,88411.84210887262
169,Gulf County,FL,12,2010-03-31,155188.7883100784
2315,Hamilton County,FL,12,2010-03-31,81289.74810672051
1076,Hardee County,FL,12,2010-03-31,85659.30460286356
1093,Hendry County,FL,12,2010-03-31,78134.0180998021
2341,Hernando County,FL,12,2010-03-31,118987.74961959182
2724,Highlands County,FL,12,2010-03-31,94938.30394568304
3165,Hillsborough County,FL,12,2010-03-31,141957.890602464
1094,Holmes County,FL,12,2010-03-31,95643.47264880373
3168,Indian River County,FL,12,2010-03-31,150961.29584730414
1794,Jackson County,FL,12,2010-03-31,95898.95208741986
2735,Jefferson County,FL,12,2010-03-31,133574.8667669089
2769,Lafayette County,FL,12,2010-03-31,101452.34210200836
219,Lake County,FL,12,2010-03-31,149499.092244884
80,Lee County,FL,12,2010-03-31,135425.61397095383
232,Leon County,FL,12,2010-03-31,174586.08533652066
234,Levy County,FL,12,2010-03-31,115431.23593490048
1896,Madison County,FL,12,2010-03-31,99050.80689168489
1916,Manatee County,FL,12,2010-03-31,171882.65650904272
1161,Marion County,FL,12,2010-03-31,124080.6635084624
1176,Martin County,FL,12,2010-03-31,176591.10825543772
2964,Miami-Dade County,FL,12,2010-03-31,172471.0289165365
1251,Nassau County,FL,12,2010-03-31,206321.54560441253
