STCOFIPS,geometry_county_name,county_name,latest_year,latest_vulnerability_score,latest_vulnerability_class,dominant_recent_cluster_name,dominant_profile_persistence_pct,recent_avg_annual_growth_pct,recent_avg_vulnerability_score,risk_cluster_share_pct,hidden_risk_category,scenarios_selected,selection_rate_pct
12115,Sarasota,Sarasota County,2025,0.5842394229568272,High,Disaster-Loss Growth Pressure,80.0,8.5881,0.6428,100.0,Other County,0,0.0
12117,Seminole,Seminole County,2025,0.4220047422717216,Low,Lower-Stress Resilient Profile,60.0,8.1225,0.4666,40.0,Other County,0,0.0
12119,Sumter,Sumter County,2025,0.4026547660366891,Low,Lower-Stress Resilient Profile,60.0,6.513,0.4434,40.0,Other County,0,0.0
12121,Suwannee,Suwannee County,2025,0.4287793140526243,Low,Socioeconomic Resilience Stress,80.0,9.5875,0.5084,20.0,Other County,0,0.0
12123,Taylor,Taylor County,2025,0.4684480641490811,Medium,Disaster-Loss Growth Pressure,60.0,7.9212,0.5793,100.0,Other County,0,0.0
12125,Union,Union County,2025,0.3416903572203423,Low,Socioeconomic Resilience Stress,80.0,10.4794,0.4189,20.0,Other County,0,0.0
12127,Volusia,Volusia County,2025,0.5166375267757264,Medium,Disaster-Loss Growth Pressure,80.0,8.1934,0.5696,100.0,Other County,0,0.0
12129,Wakulla,Wakulla County,2025,0.3556185155044857,Low,Lower-Stress Resilient Profile,100.0,8.2063,0.4216,0.0,Other County,0,0.0
12131,Walton,Walton County,2025,0.4639437098259225,Medium,Disaster-Loss Growth Pressure,100.0,9.2837,0.5185,100.0,Hidden Risk,4,50.0
12133,Washington,Washington County,2025,0.4127961484850922,Low,Socioeconomic Resilience Stress,60.0,8.5429,0.4964,40.0,Other County,0,0.0
