class,feature,coefficient,absolute_coefficient,direction
Low,fire_disaster_count,0.0905,0.0905,Positive
Low,any_disaster_flag,0.1862,0.1862,Positive
Low,any_climate_disaster_flag,-0.223,0.223,Negative
Low,cumulative_disaster_count,-0.0227,0.0227,Negative
Low,cumulative_climate_disaster_count,-0.264,0.264,Negative
Low,recent_3yr_disaster_count,-0.1122,0.1122,Negative
Low,recent_3yr_climate_disaster_count,-0.6072,0.6072,Negative
Low,acs_total_population,-0.6333,0.6333,Negative
Low,median_household_income,0.9084,0.9084,Positive
Low,poverty_rate,-0.3705,0.3705,Negative
Low,unemployment_rate,-0.1917,0.1917,Negative
Low,owner_occupied_share,0.4065,0.4065,Positive
Low,renter_occupied_share,-0.4065,0.4065,Negative
Low,median_gross_rent,-0.61,0.61,Negative
Low,acs_median_home_value,0.7149,0.7149,Positive
Low,price_to_income_ratio,-0.9498,0.9498,Negative
Low,acs_estimated_2025_flag,0.0,0.0,Zero
Low,nfip_claim_count,-0.1798,0.1798,Negative
Low,nfip_policy_count_sum,-0.1778,0.1778,Negative
Low,nfip_total_building_payment,-0.0209,0.0209,Negative
Low,nfip_total_contents_payment,-0.0383,0.0383,Negative
Low,nfip_total_icc_payment,0.0702,0.0702,Positive
Low,nfip_total_claim_payment,-0.0226,0.0226,Negative
Low,nfip_avg_claim_payment,-1.5187,1.5187,Negative
Low,nfip_total_building_coverage,-0.1766,0.1766,Negative
Low,nfip_total_contents_coverage,-0.2064,0.2064,Negative
Low,nfip_cumulative_claim_count,-0.3838,0.3838,Negative
Low,nfip_cumulative_claim_payment,-0.1444,0.1444,Negative
Low,nfip_recent_3yr_claim_count,-0.4387,0.4387,Negative
Low,nfip_recent_3yr_claim_payment,-0.1321,0.1321,Negative
Low,nfip_claim_year_indicator,-1.0915,1.0915,Negative
Medium,Year,0.0577,0.0577,Positive
Medium,avg_annual_housing_price,-0.0186,0.0186,Negative
Medium,median_annual_housing_price,-0.0499,0.0499,Negative
Medium,min_annual_housing_price,0.0208,0.0208,Positive
Medium,max_annual_housing_price,0.072,0.072,Positive
Medium,annual_price_volatility,0.3285,0.3285,Positive
Medium,monthly_observations,0.0473,0.0473,Positive
Medium,is_metro,0.0662,0.0662,Positive
Medium,SizeRank,0.041,0.041,Positive
Medium,POPULATION,0.3604,0.3604,Positive
Medium,CFLD_RISKS,-0.1184,0.1184,Negative
Medium,HRCN_RISKS,-0.4259,0.4259,Negative
Medium,SOVI_SCORE,0.0973,0.0973,Positive
Medium,RESL_SCORE,-0.2352,0.2352,Negative
Medium,prev_year_housing_price,0.0411,0.0411,Positive
Medium,annual_price_growth_dollar,-0.2075,0.2075,Negative
Medium,annual_price_growth_pct,0.2098,0.2098,Positive
