Model,Feature Set,RMSE,MAE,R²
Linear Regression,Climate-Enhanced,2148.5477679056694,1578.4084899193808,0.9997284154241131
Random Forest,Climate-Enhanced,12535.006271348928,5283.096393434366,0.9907559095706471
XGBoost,Climate-Enhanced,41192.88809820007,13214.532105945238,0.9001703477440206
