Model,Feature Set,RMSE,MAE,R²
Linear Regression,Baseline,2165.743131852111,1601.211015277002,0.99972405091031
Random Forest,Baseline,15003.19706095543,5107.0629241283405,0.9867571121458295
XGBoost,Baseline,30849.078158621156,9252.477974671507,0.944011419627578
