model,feature,importance
Random Forest,price_growth_acceleration,0.0044774528050530145
Random Forest,climate_disaster_count,0.00419049996613855
Random Forest,high_volatility_flag,0.0038148722099745204
Random Forest,hurricane_disaster_count,0.0037727750357800507
Random Forest,neighbor_count,0.0032848044411682153
Random Forest,disaster_count,0.0032420484395427854
Random Forest,unique_disaster_events,0.002419425770586581
Random Forest,nfip_claim_year_indicator,0.0018254125180748116
Random Forest,any_disaster_flag,0.0007657634843124076
Random Forest,any_climate_disaster_flag,0.0006661442329238696
Random Forest,nfip_total_icc_payment,0.00038563612804712723
Random Forest,is_metro,0.0002809296592008739
Random Forest,tropical_storm_disaster_count,0.0002597100333730534
Random Forest,severe_storm_disaster_count,0.00016228280990513339
Random Forest,monthly_observations,0.0
Random Forest,complete_year_flag,0.0
Random Forest,flood_disaster_count,0.0
Random Forest,fire_disaster_count,0.0
Random Forest,acs_estimated_2025_flag,0.0
XGBoost,nfip_cumulative_claim_count,0.06726006418466568
XGBoost,high_growth_flag,0.05500257387757301
XGBoost,neighbor_avg_price_growth_pct,0.046130795031785965
XGBoost,CFLD_RISKS,0.033569157123565674
XGBoost,neighbor_high_volatility_share,0.03273392468690872
XGBoost,annual_price_growth_dollar,0.03170384094119072
XGBoost,nfip_total_building_payment,0.03123118355870247
XGBoost,nfip_total_claim_payment,0.027350233867764473
XGBoost,neighbor_high_growth_share,0.02691509760916233
XGBoost,neighbor_avg_price_volatility,0.026907484978437424
XGBoost,annual_price_growth_pct,0.026157399639487267
XGBoost,SOVI_SCORE,0.025952253490686417
XGBoost,nfip_cumulative_claim_payment,0.023440243676304817
XGBoost,cumulative_climate_disaster_count,0.021823715418577194
XGBoost,Year,0.02117559313774109
XGBoost,cumulative_disaster_count,0.02019936963915825
XGBoost,RESL_SCORE,0.01952200010418892
XGBoost,nfip_recent_3yr_claim_payment,0.01945171318948269
XGBoost,neighbor_avg_housing_price,0.019054880365729332
XGBoost,appreciation_from_baseline_pct,0.018915589898824692
XGBoost,nfip_total_contents_payment,0.01834421418607235
XGBoost,high_volatility_flag,0.017871925607323647
XGBoost,recent_3yr_disaster_count,0.017121264711022377
XGBoost,HRCN_RISKS,0.015870898962020874
XGBoost,unique_disaster_events,0.01582481898367405
XGBoost,disaster_count,0.015211735852062702
XGBoost,price_to_income_ratio,0.01499226689338684
XGBoost,nfip_total_building_coverage,0.01469505950808525
XGBoost,nfip_recent_3yr_claim_count,0.014198197051882744
XGBoost,nfip_policy_count_sum,0.014045830816030502
XGBoost,climate_disaster_count,0.013755145482718945
XGBoost,max_annual_housing_price,0.013230426236987114
XGBoost,nfip_claim_count,0.012891857884824276
XGBoost,renter_occupied_share,0.012820781208574772
XGBoost,nfip_avg_claim_payment,0.011646375060081482
XGBoost,neighbor_count,0.011580141261219978
XGBoost,annual_price_volatility,0.011568866670131683
XGBoost,median_annual_housing_price,0.011263765394687653
XGBoost,hurricane_disaster_count,0.010625469498336315
XGBoost,severe_storm_disaster_count,0.00937066413462162
XGBoost,baseline_housing_price,0.009309149347245693
XGBoost,nfip_total_contents_coverage,0.009120775386691093
XGBoost,min_annual_housing_price,0.008261903189122677
XGBoost,POPULATION,0.008256478235125542
XGBoost,poverty_rate,0.008239924907684326
XGBoost,median_gross_rent,0.008115297183394432
XGBoost,avg_annual_housing_price,0.008024755865335464
XGBoost,acs_total_population,0.007977677509188652
XGBoost,recent_3yr_climate_disaster_count,0.007916382513940334
XGBoost,nfip_total_icc_payment,0.007638625334948301
XGBoost,median_household_income,0.007335344795137644
XGBoost,owner_occupied_share,0.006770654581487179
XGBoost,acs_median_home_value,0.006535046733915806
XGBoost,unemployment_rate,0.005735187791287899
XGBoost,price_growth_acceleration,0.005495001561939716
XGBoost,prev_year_housing_price,0.005295171868056059
XGBoost,SizeRank,0.004827483091503382
XGBoost,is_metro,0.0032279740553349257
XGBoost,any_climate_disaster_flag,0.0004904865054413676
XGBoost,monthly_observations,0.0
XGBoost,complete_year_flag,0.0
XGBoost,tropical_storm_disaster_count,0.0
XGBoost,flood_disaster_count,0.0
XGBoost,fire_disaster_count,0.0
XGBoost,any_disaster_flag,0.0
XGBoost,acs_estimated_2025_flag,0.0
XGBoost,nfip_claim_year_indicator,0.0
