medium_prediction_group,observations,mean_probability_medium,mean_probability_low,mean_probability_high,mean_predicted_probability,mean_probability_margin
Correctly Predicted Medium,38,0.7764614661093489,0.11824540926071714,0.1052931246299339,0.7764614661093489,0.5709755058286984
Predicted Low,33,0.13753431187060886,0.8605204786880152,0.0019452094413758456,0.8605204786880152,0.7229861668174064
Predicted High,8,0.2804173024334505,0.006387120847975094,0.7131955767185744,0.7131955767185744,0.43277827428512383
