feature_dimension,feature_count,total_mean_absolute_shap,average_shap_per_feature,maximum_feature_shap,group_contribution_pct,group_rank,leading_feature,leading_feature_shap
Socioeconomic and Affordability Stress,14,5.904610602737721,0.4217579001955515,1.1456566962188626,23.524575134525996,1,median_household_income,1.1456566962188626
Disaster History,14,5.214890082129633,0.37249214872354525,1.2223867345723247,20.776657735646836,2,cumulative_climate_disaster_count,1.2223867345723247
Insurance-Loss Stress,14,3.43666679214967,0.24547619943926216,1.0691782324598929,13.692033497817855,3,nfip_avg_claim_payment,1.0691782324598929
Spatial Spillover,6,3.3215180777563478,0.5535863462927246,1.5368304587731407,13.233269192152411,4,neighbor_high_growth_share,1.5368304587731407
Housing Pressure and Market Conditions,15,3.285673711610092,0.21904491410733945,0.6582357408425094,13.090461555664735,5,price_growth_acceleration,0.6582357408425094
Climate Exposure,2,2.1972481921165024,1.0986240960582512,1.612059804643618,8.75406248816474,6,CFLD_RISKS,1.612059804643618
Resilience,1,1.7391470279127574,1.7391470279127574,1.7391470279127574,6.928940396027426,7,RESL_SCORE,1.7391470279127574
