medium_prediction_group,RESL_SCORE,CFLD_RISKS,neighbor_high_growth_share,cumulative_climate_disaster_count,recent_3yr_climate_disaster_count,nfip_avg_claim_payment,median_household_income,price_to_income_ratio
Correctly Predicted Medium,36.39848667472017,29.22631578947368,0.164734753550543,15.078947368421053,7.631578947368421,18110.96465692996,66190.05263157922,4.77823368176647
Predicted Low,33.428753180652556,45.32121212121212,0.04646464646464646,15.454545454545455,5.878787878787879,5644.806238655897,69817.92727272841,4.506700388312964
Predicted High,36.73664122137404,60.025,0.1375,16.25,7.0,28862.20591173829,66179.68750000058,4.915219790070822
