RegionName,Year,actual_class,predicted_class,predicted_probability,probability_high,cluster_name,recent_avg_annual_growth_pct,annual_price_growth_pct,scenarios_selected,selection_rate_pct,leading_predicted_class_drivers,strongest_counterforce,leading_high_class_pressures
Hernando County,2025,Medium,High,0.8780767252543277,0.8780767252543277,Disaster-Loss Growth Pressure,10.824,-3.1259589039072897,8,100.0,RESL_SCORE (+3.40); cumulative_climate_disaster_count (+2.55); recent_3yr_climate_disaster_count (+1.96),neighbor_high_growth_share (-2.79),Same as predicted-class drivers
Collier County,2025,High,High,0.9994588137812286,0.9994588137812286,Disaster-Loss Growth Pressure,10.5318,-6.757111815665216,8,100.0,nfip_cumulative_claim_count (+3.54); CFLD_RISKS (+3.26); cumulative_climate_disaster_count (+2.55),neighbor_high_growth_share (-2.79),Same as predicted-class drivers
Monroe County,2025,High,High,0.9800397718045536,0.9800397718045536,Disaster-Loss Growth Pressure,10.046,-4.383323139471624,8,100.0,price_to_income_ratio (+5.23); CFLD_RISKS (+3.51); nfip_cumulative_claim_count (+2.41),acs_median_home_value (-3.66),Same as predicted-class drivers
Miami-Dade County,2025,High,High,0.9995224384651624,0.9995224384651624,High-Exposure Latent Risk,10.0276,-1.184954751082399,8,100.0,CFLD_RISKS (+3.57); nfip_cumulative_claim_count (+2.54); price_to_income_ratio (+2.37),neighbor_high_growth_share (-2.79),Same as predicted-class drivers
Dixie County,2025,Medium,Low,0.9744527033112734,8.04346535064515e-05,Socioeconomic Resilience Stress,9.8193,0.5434538857304398,7,87.5,neighbor_high_growth_share (+2.35); nfip_claim_year_indicator (+1.98); Year (+1.23),RESL_SCORE (-4.10),RESL_SCORE (+3.79); cumulative_climate_disaster_count (+2.55)
Levy County,2025,Medium,Low,0.8967534236043059,0.004371242045732,Socioeconomic Resilience Stress,9.7679,-1.370297199622483,7,87.5,neighbor_high_growth_share (+2.35); nfip_claim_year_indicator (+1.98); Year (+1.23),RESL_SCORE (-3.24),RESL_SCORE (+3.00); cumulative_climate_disaster_count (+2.55)
