case_order,case_label,RegionName,Year,actual_class,predicted_class,predicted_probability,cluster_name,local_rank,feature,feature_value,shap_value,absolute_shap_value,contribution_direction
3,Socioeconomic Stress Pathway,Jefferson County,2025,Low,Low,0.999798989871756,Socioeconomic Resilience Stress,9,median_household_income,62835.80000000261,1.1870948325041006,1.1870948325041006,Toward Low
3,Socioeconomic Stress Pathway,Jefferson County,2025,Low,Low,0.999798989871756,Socioeconomic Resilience Stress,10,nfip_avg_claim_payment,0.0,0.9061590306005597,0.9061590306005597,Toward Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,1,RESL_SCORE,96.27862595419847,8.801047641940219,8.801047641940219,Toward Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,2,median_household_income,118559.10000000148,5.815755122917723,5.815755122917723,Toward Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,3,acs_median_home_value,538050.0000000298,3.6285858947630136,3.6285858947630136,Toward Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,4,median_gross_rent,2057.100000000093,-2.9541930631537787,2.9541930631537787,Away from Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,5,CFLD_RISKS,89.0,-2.709350303096286,2.709350303096286,Away from Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,6,neighbor_high_growth_share,0.0,2.354681410265848,2.354681410265848,Toward Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,7,SOVI_SCORE,11.38676845,2.1212035938761113,2.1212035938761113,Toward Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,8,nfip_cumulative_claim_count,6504.0,-1.2800311686874248,1.2800311686874248,Away from Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,9,Year,2025.0,1.226040377315333,1.226040377315333,Toward Low
4,Resilience-Based Protection,Saint Johns County,2025,Low,Low,0.9999995573610906,Lower-Stress Resilient Profile,10,recent_3yr_climate_disaster_count,6.0,-1.2233917002170436,1.2233917002170436,Away from Low
