STCOFIPS,RegionName,avg_annual_price_growth_pct,avg_price_to_income_ratio,avg_housing_price,avg_coastal_flood_risk,avg_hurricane_risk,growth_group
12001,Alachua County,4.385366048603323,4.044848923763551,206026.83039067962,0.0,96.70421360033376,Lower-growth counties
12003,Baker County,5.61213328333306,3.2640772394198057,200855.45871081523,0.0,74.46808510638297,Lower-growth counties
12005,Bay County,5.009758554626709,4.072031940062737,235650.55162125148,77.2,98.66499791405924,Lower-growth counties
12007,Bradford County,5.60870593149004,3.082374663243003,152309.2478057336,0.0,87.56779307467667,Lower-growth counties
12009,Brevard County,6.910939409603521,3.6479100071470536,223835.1554544448,82.0,99.70796829370046,Higher-growth counties
12011,Broward County,7.779613924986142,4.36092031542914,274284.89276066597,97.0,99.8331247392574,Higher-growth counties
12013,Calhoun County,4.481368253899851,3.117996528032636,123166.87017638361,21.2,89.11138923654566,Lower-growth counties
12015,Charlotte County,6.874131337389266,4.126323856592377,226283.9976791663,90.4,98.9987484355444,Higher-growth counties
12017,Citrus County,6.003177313856368,3.7214528216376093,173868.57455461827,92.60000000000004,98.7901543596162,Moderate-growth counties
12019,Clay County,5.496876421611623,3.150618554356353,223967.07260650632,56.99999999999999,89.77889027951606,Lower-growth counties
12021,Collier County,6.083811435586382,5.503530268856903,390870.285917119,95.2,99.74968710888608,Moderate-growth counties
12023,Columbia County,5.737472582032343,3.4860102918034124,166187.30234955935,0.0,90.44639132248643,Moderate-growth counties
12027,De Soto County,7.336833212552668,3.752467413121599,156204.2014378177,33.4,96.24530663329162,Higher-growth counties
12029,Dixie County,6.970458477030247,3.070025719878205,127495.83466688448,73.59999999999998,87.10888610763455,Higher-growth counties
12031,Duval County,5.724665814653442,3.373049436304548,196608.07880101056,91.0,97.6637463496037,Lower-growth counties
12033,Escambia County,5.101641025882008,3.360789055598482,182197.51537254627,76.79999999999998,98.83187317480184,Lower-growth counties
12035,Flagler County,6.149494237228284,4.164016771649467,247538.03208292185,67.60000000000001,94.95202336253652,Moderate-growth counties
12037,Franklin County,5.478022160881953,5.960720644543843,291499.1890310951,77.4,90.48811013767208,Lower-growth counties
12039,Gadsden County,4.64787153784643,3.065001137288193,127588.5198933641,0.0,91.44764288694202,Lower-growth counties
12041,Gilchrist County,6.584645316393624,3.5479109480229796,174481.30632681717,25.8,84.27200667501043,Moderate-growth counties
12043,Glades County,7.705256794429826,3.803723207118906,148245.04381190302,0.0,87.6095118898623,Higher-growth counties
12045,Gulf County,6.8945495353030575,5.073800062678445,258088.3414300217,61.6,93.4084272006675,Higher-growth counties
12047,Hamilton County,6.307562095039723,2.8599528675135133,119021.40885737874,0.0,90.0709219858156,Moderate-growth counties
12049,Hardee County,6.850656406311888,2.9942240738941917,131362.64873636683,0.0,91.36420525657071,Higher-growth counties
12051,Hendry County,9.20128897489122,3.495274680918562,154947.60400651713,25.6,94.24280350438048,Higher-growth counties
12053,Hernando County,7.350337799135771,3.591801138549409,187998.9016313398,74.2,96.078431372549,Higher-growth counties
12055,Highlands County,6.6561894826079335,3.18865349094952,141732.07548095973,0.0,95.70296203587817,Moderate-growth counties
12057,Hillsborough County,7.222018564324457,3.9054908630084437,243851.25155363872,92.4,99.29078014184395,Higher-growth counties
12059,Holmes County,4.8839201593317245,3.1437039821199466,129552.35208630335,0.0,91.48936170212764,Lower-growth counties
12061,Indian River County,6.566278827918489,4.193650834254573,242671.15364411767,69.0,99.16562369628704,Moderate-growth counties
12063,Jackson County,4.342102539659164,2.8708719372212337,120081.83817666926,0.0,94.32624113475178,Lower-growth counties
12065,Jefferson County,5.503329434989654,3.713285072581636,185540.71573700028,39.4,86.7334167709637,Lower-growth counties
