growth_group,2011,2025,absolute_change,percent_change
Lower-growth counties,2.9113344530948964,3.9299586541940066,1.0186242010991102,34.98822335634647
Moderate-growth counties,2.8813459216447956,4.5514726929745555,1.6701267713297598,57.963424619851956
Higher-growth counties,2.4913939010319264,4.916429022492409,2.4250351214604824,97.3364798097981
