STCOFIPS,RegionName,avg_housing_price,avg_annual_price_growth_pct,total_appreciation_from_baseline_pct,flood_risk,hurricane_risk,social_vulnerability,resilience,cumulative_climate_disasters,cumulative_nfip_claim_payment,avg_price_to_income_ratio
12071,Lee County,250705.24595411395,7.081684984776356,195.9954528115675,97.4,99.9165623696287,67.84351145,8.778625954198473,18,3878871800.62,4.162691574042047
12103,Pinellas County,244822.74888784028,6.974027205164144,180.3995943086425,99.2,98.8735919899875,59.92366412,10.909669211195927,20,3565829110.6600003,4.245651712989412
12057,Hillsborough County,243851.25155363872,7.222018564324457,180.8419910049706,92.4,99.29078014184395,36.38676845,33.23791348600509,20,1126276724.11,3.9054908630084437
12021,Collier County,390870.285917119,6.083811435586382,143.0464909887704,95.2,99.74968710888608,74.71374045999998,41.284987277353686,21,1114534735.9,5.503530268856903
12115,Sarasota County,293581.0080251871,6.376909691814695,168.94051852496227,93.60000000000004,99.54109303295786,67.01653944,9.192111959287532,19,820323432.62,4.5508802899008165
12081,Manatee County,290688.08906917,6.761673910584339,174.7814935279177,98.0,99.33249895702964,54.8346056,22.7735368956743,21,621365987.87,4.715188184119501
12101,Pasco County,217364.38216285637,6.649342632570129,160.67842246848554,90.8,98.1226533166458,39.66284987000001,10.432569974554708,20,589065143.03,3.8978917475606645
12127,Volusia County,211391.4383653867,6.780025430548374,166.1907063206535,85.0,98.45640383813101,56.67938931,48.2824427480916,17,531585130.98,3.9405167371410275
12015,Charlotte County,226283.9976791663,6.874131337389266,196.60276736382343,90.4,98.9987484355444,77.00381679,12.150127226463106,17,461155716.86,4.126323856592377
12011,Broward County,274284.89276066597,7.779613924986142,207.4352158020408,97.0,99.8331247392574,55.37531807,44.17938931297709,14,370567774.03,4.36092031542914
