accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,feature_group,fold,validation_years,number_of_features
0.5413533834586466,0.56169133192389,0.5182752030578118,0.5055059571770824,0.510401442740509,Housing Only,Fold 1,2015-2016,16
0.5074626865671642,0.4904040404040404,0.5243513287298598,0.48276610404900255,0.4787872353915897,Housing Only,Fold 2,2017-2018,16
0.4253731343283582,0.46433239962651723,0.397076755230394,0.34369162845984036,0.3586651561347617,Housing Only,Fold 3,2019-2020,16
0.582089552238806,0.19402985074626866,0.3333333333333333,0.2452830188679245,0.4283300478738383,Housing Only,Fold 4,2021-2021,16
0.8955223880597015,0.2985074626865672,0.3333333333333333,0.31496062992125984,0.8461628863556234,Housing Only,Fold 5,2022-2022,16
0.6766917293233082,0.6868686868686869,0.681055900621118,0.6835207123827245,0.6764240298260891,Housing + Climate,Fold 1,2015-2016,18
0.6567164179104478,0.6364089334651333,0.6662743251726303,0.6435299237945079,0.6513200711558487,Housing + Climate,Fold 2,2017-2018,18
0.6044776119402985,0.6604334484081319,0.5707105955589783,0.5561478562295213,0.5723829213886215,Housing + Climate,Fold 3,2019-2020,18
0.6865671641791045,0.7203389830508474,0.5244444444444444,0.5276717138468291,0.6256453086771541,Housing + Climate,Fold 4,2021-2021,18
0.8208955223880597,0.5897435897435898,0.8333333333333334,0.6601921470342523,0.8472300153368496,Housing + Climate,Fold 5,2022-2022,18
0.6917293233082706,0.720163222521713,0.6779343844561235,0.6889205399673993,0.6939783585155739,Housing + Climate + Disaster,Fold 1,2015-2016,32
0.582089552238806,0.5341269841269841,0.5173284159866082,0.516311369509044,0.5649080180492885,Housing + Climate + Disaster,Fold 2,2017-2018,32
0.6567164179104478,0.7065289512098024,0.6229904697728147,0.6177055103884372,0.6335193948954415,Housing + Climate + Disaster,Fold 3,2019-2020,32
0.8208955223880597,0.7136015325670497,0.6731623931623932,0.6859259259259259,0.8203648424543948,Housing + Climate + Disaster,Fold 4,2021-2021,32
0.9402985074626866,0.9791666666666666,0.7777777777777778,0.8225806451612904,0.9263360616273472,Housing + Climate + Disaster,Fold 5,2022-2022,32
0.7293233082706767,0.7371170038081263,0.7133301481127567,0.7188274688274688,0.7316163368794949,Housing + Climate + Disaster + ACS,Fold 1,2015-2016,47
0.6194029850746269,0.6523972248110179,0.5470940573341704,0.548871514544359,0.5850356207290313,Housing + Climate + Disaster + ACS,Fold 2,2017-2018,47
0.6940298507462687,0.7522222222222221,0.687969291490181,0.690060056820225,0.6811688133933849,Housing + Climate + Disaster + ACS,Fold 3,2019-2020,47
0.8507462686567164,0.7153153153153152,0.788034188034188,0.7403508771929825,0.8570306362922231,Housing + Climate + Disaster + ACS,Fold 4,2021-2021,47
0.9104477611940298,0.4743589743589744,0.3888888888888889,0.4033333333333333,0.8820895522388059,Housing + Climate + Disaster + ACS,Fold 5,2022-2022,47
0.7669172932330827,0.775132275132275,0.7478897913680522,0.7530394206138223,0.7697640002229525,Full Model,Fold 1,2015-2016,67
0.6865671641791045,0.7564311299251059,0.6420014647415777,0.6631020941526731,0.6703081677714846,Full Model,Fold 2,2017-2018,67
0.7835820895522388,0.8257759784075573,0.7887185534591196,0.7889723528668761,0.7764853595739734,Full Model,Fold 3,2019-2020,67
0.7164179104477612,0.8321428571428572,0.5511111111111111,0.5927318295739348,0.670889911345528,Full Model,Fold 4,2021-2021,67
0.9253731343283582,0.8460038986354776,0.9222222222222222,0.8746438746438746,0.9318790662074244,Full Model,Fold 5,2022-2022,67
