feature_group,added_layer,number_of_features,test_macro_f1,delta_test_macro_f1,test_accuracy,delta_test_accuracy,test_weighted_f1,delta_test_weighted_f1,cv_macro_f1_mean,delta_cv_macro_f1_mean
Housing Only,Housing baseline,16,0.2847189480852847,,0.36318407960199006,,0.30135195466952525,,0.37844146769502196,
Housing + Climate,+ Climate exposure,18,0.4599314663830793,0.1752125182977946,0.5024875621890548,0.1393034825870647,0.47567268231688065,0.1743207276473554,0.614212470657567,0.23577100296254505
Housing + Climate + Disaster,+ Disaster history,32,0.6931216931216931,0.23319022673861384,0.6915422885572139,0.18905472636815912,0.6873831898707521,0.21171050755387144,0.6662887981904194,0.05207632753285241
Housing + Climate + Disaster + ACS,+ ACS / socioeconomic / affordability,47,0.7453110443143665,0.05218935119267332,0.7412935323383084,0.04975124378109452,0.7419276554001598,0.054544465529407726,0.6202886501436737,-0.04600014804674568
Full Model,+ NFIP insurance-loss + spatial spillovers,67,0.7687273531192506,0.0234163088048841,0.7761194029850746,0.03482587064676623,0.7622194775238865,0.02029182212372671,0.7344979143702361,0.11420926422656241
