feature_group,number_of_features,cv_macro_f1_mean,cv_macro_f1_std,test_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_weighted_f1
Housing Only,16,0.37844146769502196,0.11180066505067772,0.2847189480852847,0.36318407960199006,0.45260587365850524,0.3433436136004126,0.30135195466952525
Housing + Climate,18,0.614212470657567,0.06826067335447843,0.4599314663830793,0.5024875621890548,0.5784413336343796,0.47414183999473875,0.47567268231688065
Housing + Climate + Disaster,32,0.6662887981904194,0.11200281125785852,0.6931216931216931,0.6915422885572139,0.743978243978244,0.6900851381490213,0.6873831898707521
Housing + Climate + Disaster + ACS,47,0.6202886501436737,0.14244551861215957,0.7453110443143665,0.7412935323383084,0.750895335303071,0.7575403047620366,0.7419276554001598
Full Model,67,0.7344979143702361,0.10971226917183889,0.7687273531192506,0.7761194029850746,0.8038173111444854,0.8076805479116982,0.7622194775238865
