fold,validation_years,housing_climate_macro_f1,housing_only_macro_f1,macro_f1_improvement
Fold 1,2015-2016,0.6835207123827245,0.5055059571770824,0.17801475520564214
Fold 2,2017-2018,0.6435299237945079,0.48276610404900255,0.16076381974550535
Fold 3,2019-2020,0.5561478562295213,0.34369162845984036,0.21245622776968098
Fold 4,2021-2021,0.5276717138468291,0.2452830188679245,0.2823886949789046
Fold 5,2022-2022,0.6601921470342523,0.31496062992125984,0.3452315171129925
